A friendly reminder of an important date for our team.,Eine freundliche Erinnerung an einen wichtigen Termin für unser Team.,
About,Über,
Amended From,Korrektur von,
Apps,Apps,
Attendance,Anwesenheit,
Bulk operation is enqueued in background.,Stapelverarbeitung wird im Hintergrund eingereiht.,
Company,Unternehmen,
Date,Datum,
Day,Tag,
Employee,Mitarbeiter,
Employee Checkin,Mitarbeiter einchecken,
Employee Name,Name des Mitarbeiters,
Enabled,Aktiviert,
End Date,Enddatum,
Exclude Holidays,Arbeitsfreie Tage ausschließen,
For Employee,Für Mitarbeiter,
Frappe Support,Frappe Support,
Friday,Freitag,
From Date,Von-Datum,
General,Allgemein,
HR Manager,Personalwesen-Manager,
Holiday List,Feiertagsliste,
Hours,Std,
Keyboard Shortcuts,Tastaturkürzel,
Log Type,Protokolltyp,
Log out,Abmelden,
Monday,Montag,
My Profile,Mein Profil,
My Settings,Meine Einstellungen,
No,Nein,
Note,Anmerkung,
Permanent,Dauerhaft,
Please select a date,Bitte wählen Sie ein Datum,
Reload,Neu laden,
Report an Issue,Ein Problem melden,
Saturday,Samstag,
Session Defaults,Sitzungsstandards,
Shift,Schicht,
Skip Auto Attendance,Automatische Teilnahme überspringen,
Start Date,Startdatum,
Status,Status,
Sunday,Sonntag,
System Manager,System-Manager,
Thursday,Donnerstag,
Time,Zeit,
To Date,Bis-Datum,
Toggle Full Width,Breite wechseln,
Toggle Theme,Theme wechseln,
Tuesday,Dienstag,
User Forum,Anwenderforum,
View Website,Webseite anzeigen,
Wednesday,Mittwoch,
Work Anniversary Reminder,Erinnerung an Arbeitsjubiläum,
Workday,Werktag,
Yes,Ja,
